 parcel  t0         x0          y0              z0
 =====================================================
     1   4980.0000  69877.3438  99748.8828      5.5364
     2   4980.0000  69557.8125 100211.9141      1.4913
     3   4980.0000  70182.9531  99482.0234     20.8860
     4   4980.0000  69794.8984 100394.2109      3.8621
     5   4980.0000  70282.9531  99481.4531     15.5404
     6   4980.0000  70008.2109  99595.0156     29.3211
     7   4980.0000  70002.1641  99547.5234     27.8072
     8   4980.0000  69979.5469  99399.3984     25.8933
     9   4980.0000  69873.2578 100490.3828      3.2107
    10   4980.0000  69946.5156  99263.5000     17.6127
    11   4980.0000  69967.8125  98890.2969     34.0082
    12   4980.0000  70088.2109  98584.2969     73.6609
    13   4980.0000  70283.5078  98422.5078    180.7314
    14   4980.0000  69509.3125 100407.1719      1.0022
    15   4980.0000  69654.7344  99676.4375      2.0352
    16   4980.0000  69996.6172  98699.0000     41.0465
    17   4980.0000  69162.1562 100297.6641      0.8092
    18   4980.0000  69764.7734  99374.5156      4.7672
    19   4980.0000  69930.2266  98950.9219     24.4212
    20   4980.0000  70034.1875  98679.9297     97.4893
    21   4980.0000  69891.3125  99261.9766     13.0456
    22   4980.0000  69616.1172 100477.7344      1.8993
    23   4980.0000  70000.6094  98772.9375     76.0357
    24   4980.0000  69867.3438 100128.5703      6.2298
    25   4980.0000  69985.9609  98882.0078     58.8799
    26   4980.0000  69766.3906 100151.7656      2.9152
    27   4980.0000  69973.2188  99571.8828     23.2958
    28   4980.0000  69969.5625 100251.2969     11.4477
    29   4980.0000  70286.6797  98490.7031    216.4362
    30   4980.0000  70300.8203  98479.6094    153.4444
    31   4980.0000  70308.4219  98472.7656    114.2605
    32   4980.0000  70330.8594  98463.9766    108.4785
    33   4980.0000  70370.6875  98457.5703    122.6493
    34   4980.0000  70420.5078  98464.6094    164.6732
    35   4980.0000  70603.2500  99820.7656      9.4459
    36   4980.0000  70522.9062  99673.3984      6.0839
    37   4980.0000  70449.3984  99579.3672      3.6667
    38   4980.0000  70289.9609  99481.4453      1.4167
    39   4980.0000  70207.9844  99452.1484      1.5931
    40   4980.0000  70155.2109  99476.8828      2.0770
    41   4980.0000  70128.2188  99551.5938      2.5041
    42   4980.0000  70113.4297  99597.7422      2.8362
    43   4980.0000  70100.5391  99531.3828      3.4658
    44   4980.0000  70087.3984  99327.9453      5.2049
    45   4980.0000  70065.1875  98819.1719     20.1724
    46   4980.0000  70136.0625  98620.8906     48.1122
    47   4980.0000  70288.7422  98484.1797    166.8120
    48   4980.0000  70136.4531  99642.7656      2.9973
    49   4980.0000  70130.2578  99137.2422      6.6278
    50   4980.0000  70093.1797  98859.8047     41.3860
    51   4980.0000  70208.8438 100146.2266      1.5775
    52   4980.0000  70269.0625  99448.2891      2.8331
    53   4980.0000  70514.2969  99891.8359      1.6365
    54   4980.0000  70340.5078  99384.1797     22.2816
    55   4980.0000  70684.6641  98634.6875    107.8582
    56   4980.0000  70785.3594  98510.1250     62.6143
    57   4980.0000  70776.0312  98386.6562     27.0563
    58   4980.0000  70682.7969  98301.2500     12.9920
    59   4980.0000  70673.0156  98297.8438     13.3281
    60   4980.0000  70755.0469  98369.6250     26.0573
    61   4980.0000  70789.3281  98456.3203     52.2927
    62   4980.0000  70739.4922  98562.3281     88.9403
    63   4980.0000  70648.6484  98653.9844    133.6297
    64   4980.0000  70678.4844  98584.8984    102.7905
    65   4980.0000  70710.9609  98409.7969     61.5268
    66   4980.0000  70294.9688  98285.7500     10.0722
    67   4980.0000  70458.9844  98290.1641     26.0705
    68   4980.0000  70661.5859  98369.9766     64.1035
    69   4980.0000  70698.1406  98471.4453     95.9509
    70   4980.0000  70670.1406  98557.6562    121.1623
    71   4980.0000  70678.9141  98496.6953     75.9216
    72   4980.0000  70401.7500  98305.0859     23.8591
    73   4980.0000  70513.3906  98330.3203     45.7657
    74   4980.0000  70652.8594  98460.0000     94.1793
    75   4980.0000  70543.6172  98380.0703     35.7027
    76   4980.0000  70358.6562  98357.1641     23.7119
    77   4980.0000  70525.2734  98399.5312     87.1291
    78   4980.0000  70385.7344  99647.5234      8.6574
    79   4980.0000  70273.6250  98440.6719     72.6023
    80   4980.0000  70055.1953  98559.8438      4.5517
    81   4980.0000  70045.4297  98584.7734      8.9716
    82   4980.0000  70326.8047  98414.4844     96.2023
    83   4980.0000  70383.0312  98411.2656    154.6071
    84   4980.0000  70005.2578  98886.7344     28.2019
    85   4980.0000  69768.4219  99272.7734      0.7101
    86   4980.0000  69623.2344  99268.7891      1.0291
    87   4980.0000  69905.0547  98852.6875      6.5972
    88   4980.0000  69964.5781  98731.2891     11.6409
    89   4980.0000  70026.9688  98633.9453     18.0552
    90   4980.0000  70086.3906  98558.4922     25.7572
    91   4980.0000  70239.4766  98417.2578     51.6326
    92   4980.0000  70280.6953  98396.0000     60.2771
    93   4980.0000  70317.2500  98381.4531     70.1015
    94   4980.0000  70348.2109  98371.1094     81.1945
    95   4980.0000  70373.5078  98364.7812     94.3609
    96   4980.0000  70393.8984  98361.0312    109.3489
    97   4980.0000  70411.9062  98358.8906    127.4512
    98   4980.0000  70428.7109  98358.6406    148.9217
    99   4980.0000  70442.3828  98359.4844    171.6436
   100   4980.0000  70453.0078  98361.6875    194.3830
   101   4980.0000  69989.0078  99621.1719      8.9591
   102   4980.0000  69435.9141 100610.0000      0.1784
   103   4980.0000  69753.8359  98748.6875     13.1563
   104   4980.0000  69920.0938  98622.9219     25.4996
   105   4980.0000  70036.5469  98538.9453     42.1887
   106   4980.0000  70226.6328  98440.5625    167.4151
   107   4980.0000  70222.0234  98450.1094    207.1557
   108   4980.0000  70010.7734 100540.2109      6.5758
   109   4980.0000  69412.0547  99725.7969      1.9441
   110   4980.0000  69677.6875  99540.2578      4.0580
   111   4980.0000  69813.6250  99450.5703      8.0810
   112   4980.0000  69883.2734  99401.3125     14.7502
   113   4980.0000  69922.1875  99375.7891     24.1486
   114   4980.0000  69649.6094 100674.9062      7.8790
   115   4980.0000  70556.3047  98878.8516     25.9256
   116   4980.0000  70356.1875  98779.4531     17.5674
   117   4980.0000  70517.5078  98762.9062     13.4563
   118   4980.0000  70563.4062  98562.5938     16.2801
   119   4980.0000  70289.8906  98763.4922    152.7548
   120   4980.0000  70338.9844  98833.0859     55.2459
   121   4980.0000  70285.3750  98809.4844    189.1361
   122   4980.0000  69967.9922  99689.3125     28.8375
   123   4980.0000  70369.5312  98790.2344    111.1065
   124   4980.0000  70414.2578  98841.0781     30.9047
   125   4980.0000  70961.7266  98490.7188      1.2737
   126   4980.0000  70975.4844  98017.7344      0.3894
   127   4980.0000  69905.7656 100669.5156      7.8501
   128   4980.0000  70363.6641  98769.2500    209.1951
   129   4980.0000  70449.1797  98775.5938    113.2376
   130   4980.0000  70545.5625  98794.0781     31.9373
   131   4980.0000  70747.8516  98660.6797      6.2496
   132   4980.0000  70771.5000  98668.9609     15.0711
   133   4980.0000  70682.9375  98752.5469    111.0470
   134   4980.0000  70419.7109  98738.3047    202.3594
   135   4980.0000  70499.2734  98724.9688     97.1204
   136   4980.0000  70568.0312  98691.4844     60.4358
   137   4980.0000  70628.7422  98622.1328     25.3993
   138   4980.0000  70693.9688  98390.3203      2.1300
   139   4980.0000  70583.3906  98768.1250     48.6497
   140   4980.0000  70823.4297  98569.0312     64.4753
   141   4980.0000  70528.8516  98628.1875    109.1181
   142   4980.0000  70574.1875  98586.6875     61.6940
   143   4980.0000  70591.6406  98531.3281     50.1979
   144   4980.0000  70540.9219  98446.9922     28.1113
   145   4980.0000  70473.2812  98723.3672    241.4054
   146   4980.0000  70740.1797  98458.9844     82.1769
   147   4980.0000  70581.9297  98675.1250    213.4189
   148   4980.0000  70406.4609  98468.5781    166.5708
   149   4980.0000  70419.0703  98453.4297     74.8683
   150   4980.0000  70400.4922  98447.2422     36.3735
   151   4980.0000  70359.2969  98443.7109     25.9297
   152   4980.0000  70194.9062  98519.6484     17.1987
   153   4980.0000  69977.8516  99332.1172      0.1817
   154   4980.0000  69847.1328  98511.1094      6.8840
   155   4980.0000  70593.1875  98352.7188     74.9035
   156   4980.0000  70657.1250  98458.8594    118.4992
   157   4980.0000  70634.5469  98536.0703    161.2429
   158   4980.0000  70447.0391  98342.5312    186.7055
   159   4980.0000  70379.4453  98335.5234    148.5473
   160   4980.0000  70286.8984  98344.2109    110.8117
   161   4980.0000  69886.9531  98547.8672     31.6726
   162   4980.0000  69789.9141  98740.1953     17.4057
   163   4980.0000  69969.9375  98606.3203     36.7549
   164   4980.0000  70072.3828  98538.9141     63.3479
   165   4980.0000  70119.2812  98513.6875     96.2984
   166   4980.0000  69973.3594 100547.0547     17.2250
   167   4980.0000  70648.0391  99967.1328      0.9844
   168   4980.0000  70530.7422  99733.1797      0.7416
   169   4980.0000  70404.5938  99590.4922      0.4860
   170   4980.0000  70258.7031  99489.2422      0.3981
   171   4980.0000  70150.7500  99498.3750      0.6305
   172   4980.0000  70116.0859  99928.4062      0.6400
   173   4980.0000  70366.6875  98420.8750     32.4647
   174   4980.0000  69387.6719 100345.1484      1.8792
   175   4980.0000  69664.5000 100139.0234      3.6656
   176   4980.0000  69863.0703  99728.7344     17.4735
   177   4980.0000  69858.0547  99658.1641     19.0810
   178   4980.0000  69860.5859  99566.0156     22.8209
